BioSample	BioSampleModel	Experiment	Library_Name	MBases	MBytes	Microbiota	Run	SRA_Sample	Sample_Name	Treatment	collection_date	host_genotype	replicate	Assay_Type	AvgSpotLen	BioProject	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon
SAMN07731688	MIGS/MIMS/MIMARKS.host-associated	SRX3239614	174L04	11	8	SPF-1	SRR6127220	SRS2562885	Mouse gut 16S rRNA_V4 174L04	none	06-Apr-2014	C57BL/6N	biological replicate 118	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731682	MIGS/MIMS/MIMARKS.host-associated	SRX3239616	16L26	6	4	SPF-1	SRR6127218	SRS2562887	Mouse gut 16S rRNA_V4 16L26	none	24-Oct-2016	muMT	biological replicate 112	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731684	MIGS/MIMS/MIMARKS.host-associated	SRX3239618	171L19	14	11	SPF-6	SRR6127216	SRS2562888	Mouse gut 16S rRNA_V4 171L19	none	08-Feb-2016	C57BL/6N	biological replicate 114	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731689	MIGS/MIMS/MIMARKS.host-associated	SRX3239619	174L19	12	9	SPF-2	SRR6127215	SRS2562889	Mouse gut 16S rRNA_V4 174L19	none	08-Feb-2016	C57BL/6N	biological replicate 119	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731690	MIGS/MIMS/MIMARKS.host-associated	SRX3239620	175L04	10	7	SPF-1	SRR6127214	SRS2562890	Mouse gut 16S rRNA_V4 175L04	none	06-Apr-2014	C57BL/6N	biological replicate 120	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731609	MIMS.me	SRX3239621	130L26	10	7	cSPF-2	SRR6127213	SRS2562891	Mouse gut 16S rRNA_V4 130L26	none	24-Oct-2016	C57BL/6N	biological replicate 39	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731610	MIMS.me	SRX3239622	131L19	14	10	SPF-2	SRR6127212	SRS2562892	Mouse gut 16S rRNA_V4 131L19	none	08-Feb-2016	C57BL/6N	biological replicate 40	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731601	MIMS.me	SRX3239623	124L26	8	5	cSPF-2	SRR6127211	SRS2562893	Mouse gut 16S rRNA_V4 124L26	none	24-Oct-2016	C57BL/6N	biological replicate 31	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731602	MIGS/MIMS/MIMARKS.host-associated	SRX3239624	125L26	7	5	cSPF-2	SRR6127210	SRS2562894	Mouse gut 16S rRNA_V4 125L26	none	24-Oct-2016	CD4	biological replicate 32	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731683	MIGS/MIMS/MIMARKS.host-associated	SRX3239617	170L19	11	9	SPF-6	SRR6127217	SRS2562895	Mouse gut 16S rRNA_V4 170L19	none	08-Feb-2016	C57BL/6N	biological replicate 113	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731603	MIMS.me	SRX3239625	126L26	9	6	cSPF-2	SRR6127209	SRS2562896	Mouse gut 16S rRNA_V4 126L26	none	24-Oct-2016	CD4	biological replicate 33	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731604	MIMS.me	SRX3239626	127L26	9	6	cSPF-2	SRR6127208	SRS2562897	Mouse gut 16S rRNA_V4 127L26	none	24-Oct-2016	C57BL/6N	biological replicate 34	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731605	MIGS/MIMS/MIMARKS.host-associated	SRX3239627	129L19	15	11	SPF-2	SRR6127207	SRS2562898	Mouse gut 16S rRNA_V4 129L19	none	08-Feb-2016	C57BL/6N	biological replicate 35	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731606	MIGS/MIMS/MIMARKS.host-associated	SRX3239628	129L26	11	7	cSPF-2	SRR6127206	SRS2562899	Mouse gut 16S rRNA_V4 129L26	none	24-Oct-2016	CD4	biological replicate 36	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731607	MIMS.me	SRX3239629	12L15	9	7	SPF-1	SRR6127205	SRS2562900	Mouse gut 16S rRNA_V4 12L15	none	05-Jun-2016	C57BL/6N	biological replicate 37	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731608	MIMS.me	SRX3239630	130L19	15	11	SPF-2	SRR6127204	SRS2562901	Mouse gut 16S rRNA_V4 130L19	none	08-Feb-2016	C57BL/6N	biological replicate 38	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731754	MIMS.me	SRX3239633	265L092	16	11	SPF-1	SRR6127201	SRS2562904	Mouse gut 16S rRNA_V4 265L092	none	10-Oct-2014	C57BL/6N	biological replicate 184	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731752	MIGS/MIMS/MIMARKS.host-associated	SRX3239635	234L08	14	10	SPF-2	SRR6127199	SRS2562906	Mouse gut 16S rRNA_V4 234L08	none	21-Apr-2014	C57BL/6N	biological replicate 182	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731751	MIGS/MIMS/MIMARKS.host-associated	SRX3239636	233L08	24	18	SPF-2	SRR6127198	SRS2562907	Mouse gut 16S rRNA_V4 233L08	none	21-Apr-2014	C57BL/6N	biological replicate 181	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731757	MIMS.me	SRX3239638	268L092	14	10	SPF-1	SRR6127196	SRS2562909	Mouse gut 16S rRNA_V4 268L092	none	10-Oct-2014	C57BL/6N	biological replicate 187	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731756	MIGS/MIMS/MIMARKS.host-associated	SRX3239639	267L092	14	10	SPF-1	SRR6127195	SRS2562910	Mouse gut 16S rRNA_V4 267L092	none	10-Oct-2014	C57BL/6N	biological replicate 186	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731755	MIGS/MIMS/MIMARKS.host-associated	SRX3239640	266L092	14	9	SPF-1	SRR6127194	SRS2562911	Mouse gut 16S rRNA_V4 266L092	none	10-Oct-2014	C57BL/6N	biological replicate 185	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731620	MIMS.me	SRX3239641	139L19	13	10	SPF-2	SRR6127193	SRS2562912	Mouse gut 16S rRNA_V4 139L19	none	08-Feb-2016	C57BL/6N	biological replicate 50	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731616	MIGS/MIMS/MIMARKS.host-associated	SRX3239643	137L19	8	6	SPF-2	SRR6127191	SRS2562914	Mouse gut 16S rRNA_V4 137L19	none	08-Feb-2016	C57BL/6N	biological replicate 46	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731615	MIGS/MIMS/MIMARKS.host-associated	SRX3239644	136L19	9	7	SPF-2	SRR6127190	SRS2562915	Mouse gut 16S rRNA_V4 136L19	none	08-Feb-2016	C57BL/6N	biological replicate 45	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731618	MIMS.me	SRX3239645	138L19	13	10	SPF-2	SRR6127189	SRS2562916	Mouse gut 16S rRNA_V4 138L19	none	08-Feb-2016	C57BL/6N	biological replicate 48	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731612	MIGS/MIMS/MIMARKS.host-associated	SRX3239647	133L19	17	13	SPF-2	SRR6127187	SRS2562918	Mouse gut 16S rRNA_V4 133L19	none	08-Feb-2016	C57BL/6N	biological replicate 42	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731611	MIMS.me	SRX3239648	131L26	10	7	cSPF-2	SRR6127186	SRS2562919	Mouse gut 16S rRNA_V4 131L26	none	24-Oct-2016	C57BL/6N	biological replicate 41	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731614	MIMS.me	SRX3239649	135L19	12	9	SPF-2	SRR6127185	SRS2562920	Mouse gut 16S rRNA_V4 135L19	none	08-Feb-2016	C57BL/6N	biological replicate 44	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731613	MIMS.me	SRX3239650	134L19	18	13	SPF-2	SRR6127184	SRS2562921	Mouse gut 16S rRNA_V4 134L19	none	08-Feb-2016	C57BL/6N	biological replicate 43	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731819	MIMS.me	SRX3239651	31L15	11	8	SPF-1	SRR6127183	SRS2562922	Mouse gut 16S rRNA_V4 31L15	none	05-Jun-2016	C57BL/6N	biological replicate 249	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731820	MIGS/MIMS/MIMARKS.host-associated	SRX3239652	31L26	8	5	cSPF-2	SRR6127182	SRS2562923	Mouse gut 16S rRNA_V4 31L26	none	24-Oct-2016	Rag2	biological replicate 250	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731815	MIMS.me	SRX3239653	318L08	14	10	SPF-1	SRR6127181	SRS2562924	Mouse gut 16S rRNA_V4 318L08	none	21-Apr-2014	C57BL/6N	biological replicate 245	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731817	MIGS/MIMS/MIMARKS.host-associated	SRX3239655	319L08	20	15	SPF-1	SRR6127179	SRS2562926	Mouse gut 16S rRNA_V4 319L08	none	21-Apr-2014	Rag2	biological replicate 247	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731811	MIMS.me	SRX3239657	316L08	17	13	SPF-1	SRR6127177	SRS2562928	Mouse gut 16S rRNA_V4 316L08	none	21-Apr-2014	C57BL/6N	biological replicate 241	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731812	MIMS.me	SRX3239658	316L13	12	9	SPF-1	SRR6127176	SRS2562929	Mouse gut 16S rRNA_V4 316L13	none	13-Apr-2015	OT2	biological replicate 242	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731813	MIGS/MIMS/MIMARKS.host-associated	SRX3239659	317L08	20	15	SPF-1	SRR6127175	SRS2562930	Mouse gut 16S rRNA_V4 317L08	none	21-Apr-2014	C57BL/6N	biological replicate 243	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
