ENA_LAST_UPDATE	Experiment	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	cage	collection_timestamp	gender	genotype	host_subject_id	life_stage	mouse	run_prefix	sex	timepoint	treatment	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package
10/28/17	ERX2239392	11113.1031	11/8/17	5	3	ERR2183225	ERS1986013	qiita_sid_11113:11113.1031	COF1	9/25/13	Female	IL10	N42	juvenile	pup	run1	female	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239393	11113.1032	11/8/17	5	3	ERR2183226	ERS1986014	qiita_sid_11113:11113.1032	COF2	9/25/13	Female	IL10	N43	juvenile	pup	run1	female	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239394	11113.1033	11/8/17	6	3	ERR2183227	ERS1986015	qiita_sid_11113:11113.1033	COF2	9/25/13	Female	IL10	N44	juvenile	pup	run1	female	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239395	11113.1034	11/8/17	9	5	ERR2183228	ERS1986016	qiita_sid_11113:11113.1034	COF2	9/25/13	Female	IL10	N45	juvenile	pup	run1	female	week_15	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239401	11113.1042	11/8/17	11	7	ERR2183234	ERS1986022	qiita_sid_11113:11113.1042	COM2	11/7/13	Male	IL10	N07	juvenile	pup	run1	male	week_21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239402	11113.1043	11/8/17	10	6	ERR2183235	ERS1986023	qiita_sid_11113:11113.1043	COM2	11/7/13	Male	IL10	N08	juvenile	pup	run1	male	week_21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239403	11113.1044	11/8/17	15	9	ERR2183236	ERS1986024	qiita_sid_11113:11113.1044	COM2	11/7/13	Male	IL10	N09	juvenile	pup	run1	male	week_21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239404	11113.1045	11/8/17	6	3	ERR2183237	ERS1986025	qiita_sid_11113:11113.1045	COM4	11/7/13	Male	IL10	N10	juvenile	pup	run1	male	week_21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239405	11113.1047	11/8/17	7	4	ERR2183238	ERS1986026	qiita_sid_11113:11113.1047	COM4	11/7/13	Male	IL10	N12	juvenile	pup	run1	male	week_21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239414	11113.13	11/8/17	2	1	ERR2183247	ERS1986035	qiita_sid_11113:11113.13	TBI02	6/8/13	Female	IL10	TBI02	adult	dam	run1	female	gavage_D1	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239416	11113.15	11/8/17	2	1	ERR2183249	ERS1986037	qiita_sid_11113:11113.15	TBI04	6/8/13	Female	IL10	TBI04	adult	dam	run1	female	gavage_D1	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239418	11113.17	11/8/17	2	1	ERR2183251	ERS1986039	qiita_sid_11113:11113.17	TBI06	6/8/13	Female	IL10	TBI06	adult	dam	run1	female	gavage_D1	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239419	11113.18	11/8/17	2	1	ERR2183252	ERS1986040	qiita_sid_11113:11113.18	TBI07	6/8/13	Female	IL10	TBI07	adult	dam	run1	female	gavage_D1	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239422	11113.194	11/8/17	4	2	ERR2183255	ERS1986043	qiita_sid_11113:11113.194	TBC03	2/10/14	Female	c57	TBC03	adult	dam	run1	female	gavage_D5	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239424	11113.196	11/8/17	5	2	ERR2183257	ERS1986045	qiita_sid_11113:11113.196	TBC05	2/10/14	Female	c57	TBC05	adult	dam	run1	female	gavage_D5	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239426	11113.198	11/8/17	3	2	ERR2183259	ERS1986047	qiita_sid_11113:11113.198	TBC07	2/10/14	Female	c57	TBC07	adult	dam	run1	female	gavage_D5	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239428	11113.2	11/8/17	4	2	ERR2183261	ERS1986049	qiita_sid_11113:11113.200	TBC09	2/10/14	Female	c57	TBC09	adult	dam	run1	female	gavage_D5	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239430	11113.202	11/8/17	3	1	ERR2183263	ERS1986051	qiita_sid_11113:11113.202	TBC11	2/10/14	Female	c57	TBC11	adult	dam	run1	female	gavage_D5	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239432	11113.204	11/8/17	3	1	ERR2183265	ERS1986053	qiita_sid_11113:11113.204	TBC13	2/10/14	Female	c57	TBC13	adult	dam	run1	female	gavage_D5	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239433	11113.205	11/8/17	3	2	ERR2183266	ERS1986054	qiita_sid_11113:11113.205	TBC01	3/4/14	Female	c57	TBC01	adult	dam	run1	female	pupday21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239435	11113.207	11/8/17	1	1	ERR2183268	ERS1986056	qiita_sid_11113:11113.207	TBC03	3/4/14	Female	c57	TBC03	adult	dam	run1	female	pupday21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239437	11113.209	11/8/17	2	1	ERR2183270	ERS1986058	qiita_sid_11113:11113.209	TBC05	3/5/14	Female	c57	TBC05	adult	dam	run1	female	pupday21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239440	11113.211	11/8/17	3	2	ERR2183273	ERS1986061	qiita_sid_11113:11113.211	TBC07	3/5/14	Female	c57	TBC07	adult	dam	run1	female	pupday21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239442	11113.213	11/8/17	3	1	ERR2183275	ERS1986063	qiita_sid_11113:11113.213	TBC09	3/5/14	Female	c57	TBC09	adult	dam	run1	female	pupday21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239444	11113.215	11/8/17	2	1	ERR2183277	ERS1986065	qiita_sid_11113:11113.215	TBC11	3/8/14	Female	c57	TBC11	adult	dam	run1	female	pupday21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239446	11113.217	11/8/17	4	2	ERR2183279	ERS1986067	qiita_sid_11113:11113.217	TBC13	3/11/14	Female	c57	TBC13	adult	dam	run1	female	pupday21	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239447	11113.218	11/8/17	2	1	ERR2183280	ERS1986068	qiita_sid_11113:11113.218	TBC01	3/11/14	Female	c57	TBC01	adult	dam	run1	female	pupday28	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239450	11113.22	11/8/17	4	2	ERR2183283	ERS1986071	qiita_sid_11113:11113.220	TBC03	3/11/14	Female	c57	TBC03	adult	dam	run1	female	pupday28	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239457	11113.228	11/8/17	2	1	ERR2183290	ERS1986078	qiita_sid_11113:11113.228	TBC11	3/14/14	Female	c57	TBC11	adult	dam	run1	female	pupday28	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239459	11113.23	11/8/17	3	1	ERR2183292	ERS1986080	qiita_sid_11113:11113.23	TBI02	6/9/13	Female	IL10	TBI02	adult	dam	run1	female	gavage_D2	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239460	11113.23	11/8/17	4	2	ERR2183293	ERS1986081	qiita_sid_11113:11113.230	TBC13	3/18/14	Female	c57	TBC13	adult	dam	run1	female	pupday28	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239461	11113.231	11/8/17	6	3	ERR2183294	ERS1986082	qiita_sid_11113:11113.231	TBC01	3/19/14	Female	c57	TBC01	adult	dam	run1	female	pupday36	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239462	11113.232	11/8/17	4	2	ERR2183295	ERS1986083	qiita_sid_11113:11113.232	TBC03	3/19/14	Female	c57	TBC03	adult	dam	run1	female	pupday36	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239464	11113.234	11/8/17	4	2	ERR2183297	ERS1986085	qiita_sid_11113:11113.234	TBC05	3/21/14	Female	c57	TBC05	adult	dam	run1	female	pupday36	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239466	11113.236	11/8/17	2	1	ERR2183299	ERS1986087	qiita_sid_11113:11113.236	TBC07	3/21/14	Female	c57	TBC07	adult	dam	run1	female	pupday36	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239468	11113.238	11/8/17	2	1	ERR2183301	ERS1986089	qiita_sid_11113:11113.238	TBC09	3/21/14	Female	c57	TBC09	adult	dam	run1	female	pupday36	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239470	11113.24	11/8/17	2	1	ERR2183303	ERS1986091	qiita_sid_11113:11113.240	TBC11	3/23/14	Female	c57	TBC11	adult	dam	run1	female	pupday36	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239472	11113.242	11/8/17	2	1	ERR2183305	ERS1986093	qiita_sid_11113:11113.242	TBC13	3/27/13	Female	c57	TBC13	adult	dam	run1	female	pupday36	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239474	11113.245	11/8/17	4	2	ERR2183307	ERS1986095	qiita_sid_11113:11113.245	TBC03	4/4/14	Female	c57	TBC03	adult	dam	run1	female	week_6	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
10/28/17	ERX2239476	11113.247	11/8/17	3	1	ERR2183309	ERS1986097	qiita_sid_11113:11113.247	TBC05	4/4/14	Female	c57	TBC05	adult	dam	run1	female	week_6	control	OTHER	PRJEB23242	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	11/1/17	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	mouse gut metagenome	ILLUMINA	11/3/17	ERP104982	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated
