BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
SAMEA54460168	ERX1869620	17	13	ERR1806593	ERS1510728	SWinter0516_515E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54460918	ERX1869621	18	14	ERR1806594	ERS1510729	SWinter0516_516E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54461668	ERX1869622	13	10	ERR1806595	ERS1510730	SWinter0516_521E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54462418	ERX1869623	18	14	ERR1806596	ERS1510731	SWinter0516_522E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54463168	ERX1869624	20	16	ERR1806597	ERS1510732	SWinter0516_523E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54463918	ERX1869625	12	9	ERR1806598	ERS1510733	SWinter0516_524E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54464668	ERX1869626	14	11	ERR1806599	ERS1510734	SWinter0516_525E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54465418	ERX1869627	16	12	ERR1806600	ERS1510735	SWinter0516_526E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54466168	ERX1869628	16	13	ERR1806601	ERS1510736	SWinter0516_531E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54466918	ERX1869629	20	15	ERR1806602	ERS1510737	SWinter0516_532E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54467668	ERX1869630	21	16	ERR1806603	ERS1510738	SWinter0516_533E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54468418	ERX1869631	24	19	ERR1806604	ERS1510739	SWinter0516_534E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54469168	ERX1869632	23	18	ERR1806605	ERS1510740	SWinter0516_535E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
SAMEA54469918	ERX1869633	18	14	ERR1806606	ERS1510741	SWinter0516_536E	AMPLICON	500	PRJEB19192	UT SOUTHWESTERN MEDICAL CENTER	public	460	Illumina MiSeq	PAIRED	PCR	GENOMIC	unspecified	2017-04-01	Mus musculus	ILLUMINA	2017-03-31	ERP021175
