collection_date	genotype	Library_Name	inoculum	response	tumors	DNR	TNBS	AOMDSS	DSS
c3-580-d0	2012-8-6	C57BL/6	1399	c1	1	8	0	0	1	0
c3-580-d76	2012-5-25	C57BL/6	1400	c1	0	4	0	0	0	0
c3-846-d0	2012-8-6	C57BL/6	1400	c1	1	4	0	0	1	0
h1a-1221-d00	2012-8-6	C57BL/6	1308	c1	1	0	0	0	1	0
h1a-1221-d73	2012-5-25	C57BL/6	1329	c1	0	1	0	0	0	0
h1a-1284-d00	2012-8-6	C57BL/6	1329	c1	1	1	0	0	1	0
h1a-1284-d73	2012-5-25	C57BL/6	1257	c1	0	5	0	0	0	0
h1a-1353-d00	2012-8-6	C57BL/6	1257	c1	1	5	0	0	1	0
h1a-1353-d73	2012-5-25	C57BL/6	1977	c1	0	1	0	0	0	0
h1a-1373-d00	2012-8-6	C57BL/6	1977	c1	1	1	0	0	1	0
h1a-1373-d73	2012-5-25	C57BL/6	c1b_nt	c1	0	1	0	0	0	0
h1a-nt-d00	2012-8-6	C57BL/6	c1b_nt	c1	1	1	0	0	1	0
h1a-nt-d73	2013-3-29	C57BL/6	606	h3	0	0	0	0	0	0
h1b-1207-d00	2013-3-29	C57BL/6	620	h3	0	0	0	0	0	0
h1b-1220-d00	2013-3-29	C57BL/6	624	h3	0	0	0	0	0	0
h1b-1220-d73	2013-6-13	C57BL/6	624	h3	1	0	0	0	1	0
h1b-1376-d00	2013-3-29	C57BL/6	686	h3	0	5	0	0	0	0
h1b-1376-d73	2013-6-13	C57BL/6	686	h3	1	5	0	0	1	0
h1b-1384-d00	2013-3-29	C57BL/6	h3_nt	h3	0	1	0	0	0	0
h1b-1384-d73	2013-3-29	C57BL/6	302	c2	0	0	0	0	0	0
h1b-nt-d00	2013-6-13	C57BL/6	302	c2	1	0	0	0	1	0
h1b-nt-d73	2013-3-29	C57BL/6	347	c2	0	4	0	0	0	0
h2-622-d0	2013-6-13	C57BL/6	347	c2	1	4	0	0	1	0
h2-622-d76	2013-3-29	C57BL/6	565	c2	0	2	0	0	0	0
h2-655-d0	2013-6-13	C57BL/6	565	c2	1	2	0	0	1	0
h2-655-d76	2013-3-29	C57BL/6	618	c2	0	0	0	0	0	0
h2-662-d0	2013-6-13	C57BL/6	618	c2	1	0	0	0	1	0
h2-662-d76	2013-3-29	C57BL/6	128	c3	0	3	0	0	0	0
h2-996-d0	2013-6-13	C57BL/6	128	c3	1	3	0	0	1	0
h2-996-d76	2013-3-29	C57BL/6	417	c3	0	8	0	0	0	0
h2-nt-d0	2013-6-13	C57BL/6	417	c3	1	8	0	0	1	0
h2-nt-d76	2013-3-29	C57BL/6	560	c3	0	7	0	0	0	0
h3-602-d76	2013-6-13	C57BL/6	560	c3	1	7	0	0	1	0
h3-606-d0	2013-3-29	C57BL/6	580	c3	0	2	0	0	0	0
h3-620-d0	2013-6-13	C57BL/6	580	c3	1	2	0	0	1	0
h3-624-d0	2013-3-29	C57BL/6	846	c3	0	5	0	0	0	0
