AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	anonymized_name	collection_timestamp	env_material	host_subject_id	physical_specimen_remaining	sample_type	Assay_Type	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	dna_extracted	elevation	env_biome	env_feature	env_package	geo_loc_name	host_common_name	host_scientific_name	host_taxid	latitude	longitude	physical_specimen_location	title
237	SAMEA103939102	ERX1958248	10902.A6.C	8	5	ERR1897858	ERS1628270	qiita_sid_10902:10902.A6.C	A6.C	2015-10-09 13:00	organic material	A6.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939103	ERX1958249	10902.A6.F	4	2	ERR1897859	ERS1628271	qiita_sid_10902:10902.A6.F	A6.F	2015-10-07 10:00	feces	A6.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939104	ERX1958250	10902.A7.C	11	7	ERR1897860	ERS1628272	qiita_sid_10902:10902.A7.C	A7.C	2015-10-09 13:00	organic material	A7.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939105	ERX1958251	10902.A7.F	3	1	ERR1897861	ERS1628273	qiita_sid_10902:10902.A7.F	A7.F	2015-10-07 10:00	feces	A7.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939106	ERX1958252	10902.A8.C	10	6	ERR1897862	ERS1628274	qiita_sid_10902:10902.A8.C	A8.C	2015-10-09 13:00	organic material	A8.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939107	ERX1958253	10902.A8.F	7	4	ERR1897863	ERS1628275	qiita_sid_10902:10902.A8.F	A8.F	2015-10-07 10:00	feces	A8.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939108	ERX1958254	10902.A9.C	9	6	ERR1897864	ERS1628276	qiita_sid_10902:10902.A9.C	A9.C	2015-10-09 13:00	organic material	A9.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939109	ERX1958255	10902.A9.F	9	6	ERR1897865	ERS1628277	qiita_sid_10902:10902.A9.F	A9.F	2015-10-07 10:00	feces	A9.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939110	ERX1958256	10902.B1.C	13	8	ERR1897866	ERS1628278	qiita_sid_10902:10902.B1.C	B1.C	2015-10-09 13:00	organic material	B1.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939111	ERX1958257	10902.B1.F	10	6	ERR1897867	ERS1628279	qiita_sid_10902:10902.B1.F	B1.F	2015-10-07 10:00	feces	B1.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939112	ERX1958258	10902.B10.C	10	6	ERR1897868	ERS1628280	qiita_sid_10902:10902.B10.C	B10.C	2015-10-09 13:00	organic material	B10.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939113	ERX1958259	10902.B10.F	5	3	ERR1897869	ERS1628281	qiita_sid_10902:10902.B10.F	B10.F	2015-10-07 10:00	feces	B10.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939114	ERX1958260	10902.B11.C	10	6	ERR1897870	ERS1628282	qiita_sid_10902:10902.B11.C	B11.C	2015-10-09 13:00	organic material	B11.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939115	ERX1958261	10902.B11.F	8	5	ERR1897871	ERS1628283	qiita_sid_10902:10902.B11.F	B11.F	2015-10-07 10:00	feces	B11.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939116	ERX1958262	10902.B12.C	9	6	ERR1897872	ERS1628284	qiita_sid_10902:10902.B12.C	B12.C	2015-10-09 13:00	organic material	B12.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939117	ERX1958263	10902.B12.F	6	3	ERR1897873	ERS1628285	qiita_sid_10902:10902.B12.F	B12.F	2015-10-07 10:00	feces	B12.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939118	ERX1958264	10902.B2.C	9	5	ERR1897874	ERS1628286	qiita_sid_10902:10902.B2.C	B2.C	2015-10-09 13:00	organic material	B2.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939119	ERX1958265	10902.B2.F	6	3	ERR1897875	ERS1628287	qiita_sid_10902:10902.B2.F	B2.F	2015-10-07 10:00	feces	B2.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939120	ERX1958266	10902.B3.C	7	4	ERR1897876	ERS1628288	qiita_sid_10902:10902.B3.C	B3.C	2015-10-09 13:00	organic material	B3.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939121	ERX1958267	10902.B3.F	5	3	ERR1897877	ERS1628289	qiita_sid_10902:10902.B3.F	B3.F	2015-10-07 10:00	feces	B3.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939122	ERX1958268	10902.B4.C	8	5	ERR1897878	ERS1628290	qiita_sid_10902:10902.B4.C	B4.C	2015-10-09 13:00	organic material	B4.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939123	ERX1958269	10902.B4.F	6	4	ERR1897879	ERS1628291	qiita_sid_10902:10902.B4.F	B4.F	2015-10-07 10:00	feces	B4.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939124	ERX1958270	10902.B5.C	9	6	ERR1897880	ERS1628292	qiita_sid_10902:10902.B5.C	B5.C	2015-10-09 13:00	organic material	B5.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939125	ERX1958271	10902.B5.F	8	5	ERR1897881	ERS1628293	qiita_sid_10902:10902.B5.F	B5.F	2015-10-07 10:00	feces	B5.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939126	ERX1958272	10902.B6.C	10	6	ERR1897882	ERS1628294	qiita_sid_10902:10902.B6.C	B6.C	2015-10-09 13:00	organic material	B6.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939127	ERX1958273	10902.B6.F	9	5	ERR1897883	ERS1628295	qiita_sid_10902:10902.B6.F	B6.F	2015-10-07 10:00	feces	B6.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939128	ERX1958274	10902.B7.C	10	8	ERR1897884	ERS1628296	qiita_sid_10902:10902.B7.C	B7.C	2015-10-09 13:00	organic material	B7.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939129	ERX1958275	10902.B7.F	8	5	ERR1897885	ERS1628297	qiita_sid_10902:10902.B7.F	B7.F	2015-10-07 10:00	feces	B7.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939130	ERX1958276	10902.B8.C	10	6	ERR1897886	ERS1628298	qiita_sid_10902:10902.B8.C	B8.C	2015-10-09 13:00	organic material	B8.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939131	ERX1958277	10902.B8.F	9	5	ERR1897887	ERS1628299	qiita_sid_10902:10902.B8.F	B8.F	2015-10-07 10:00	feces	B8.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939132	ERX1958278	10902.B9.F	7	4	ERR1897888	ERS1628300	qiita_sid_10902:10902.B9.F	B9.F	2015-10-07 10:00	feces	B9.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939133	ERX1958279	10902.F1.C	3	2	ERR1897889	ERS1628301	qiita_sid_10902:10902.F1.C	F1.C	2015-10-09 13:00	organic material	F1.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939134	ERX1958280	10902.F1.F	7	5	ERR1897890	ERS1628302	qiita_sid_10902:10902.F1.F	F1.F	2015-10-07 10:00	feces	F1.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939135	ERX1958281	10902.F10.C	5	3	ERR1897891	ERS1628303	qiita_sid_10902:10902.F10.C	F10.C	2015-10-09 13:00	organic material	F10.C	TRUE	cecal content	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
237	SAMEA103939136	ERX1958282	10902.F10.F	5	3	ERR1897892	ERS1628304	qiita_sid_10902:10902.F10.F	F10.F	2015-10-07 10:00	feces	F10.F	FALSE	stool	OTHER	PRJEB20125	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2017-03-31	mouse gut metagenome	ILLUMINA	2017-03-31	ERP022248	TRUE	16	urban biome	animal-associated habitat	host-associated	USA:CA:Davis	mouse	Mus musculus	10090	38.545	-121.741	Marco lab	plantaricin effect on gut microbiota
